;count;cumul_count;year;trim;id_trim
1;6948;6948;2017;T1;1
2;12189;19137;2017;T2;2
3;13105;32242;2017;T3;3
4;10742;42984;2017;T4;4
5;8878;8878;2018;T1;1
6;12481;21359;2018;T2;2
7;11950;33309;2018;T3;3
8;10091;43400;2018;T4;4
9;7192;7192;2019;T1;1
10;9026;16218;2019;T2;2
11;8397;24615;2019;T3;3
12;4787;29402;2019;T4;4
13;2959;2959;2020;T1;1
14;149;3108;2020;T2;2
15;1187;4295;2020;T3;3
16;450;4745;2020;T4;4
17;85;85;2021;T1;1
18;228;313;2021;T2;2
19;509;822;2021;T3;3
20;149;971;2021;T4;4
21;145;145;2022;T1;1
22;182;327;2022;T2;2
23;109;436;2022;T3;3
24;90;526;2022;T4;4
25;88;88;2023;T1;1
26;66;154;2023;T2;2
27;54;208;2023;T3;3
28;48;256;2023;T4;4
