;site;count;cumul_count;year;month;id_month
1;rome;2097;2097;2017;JANVIER;1
2;rome;1998;4095;2017;FEVRIER;2
3;rome;2853;6948;2017;MARS;3
4;rome;3713;10661;2017;AVRIL;4
5;rome;4590;15251;2017;MAI;5
6;rome;3886;19137;2017;JUIN;6
7;rome;4246;23383;2017;JUILLET;7
8;rome;3877;27260;2017;AOUT;8
9;rome;4982;32242;2017;SEPTEMBRE;9
10;rome;4710;36952;2017;OCTOBRE;10
11;rome;3310;40262;2017;NOVEMBRE;11
12;rome;2722;42984;2017;DECEMBRE;12
13;rome;2870;2870;2018;JANVIER;1
14;rome;2625;5495;2018;FEVRIER;2
15;rome;3383;8878;2018;MARS;3
16;rome;4281;13159;2018;AVRIL;4
17;rome;4588;17747;2018;MAI;5
18;rome;3612;21359;2018;JUIN;6
19;rome;3727;25086;2018;JUILLET;7
20;rome;3631;28717;2018;AOUT;8
21;rome;4592;33309;2018;SEPTEMBRE;9
22;rome;4728;38037;2018;OCTOBRE;10
23;rome;3157;41194;2018;NOVEMBRE;11
24;rome;2206;43400;2018;DECEMBRE;12
25;rome;2563;2563;2019;JANVIER;1
26;rome;1942;4505;2019;FEVRIER;2
27;rome;2687;7192;2019;MARS;3
28;rome;3064;10256;2019;AVRIL;4
29;rome;3185;13441;2019;MAI;5
30;rome;2777;16218;2019;JUIN;6
31;rome;2923;19141;2019;JUILLET;7
32;rome;2413;21554;2019;AOUT;8
33;rome;3061;24615;2019;SEPTEMBRE;9
34;rome;3049;27664;2019;OCTOBRE;10
35;rome;1738;29402;2019;NOVEMBRE;11
36;rome;1221;30623;2019;DECEMBRE;12
37;rome;1467;1467;2020;JANVIER;1
38;rome;1218;2685;2020;FEVRIER;2
39;rome;274;2959;2020;MARS;3
40;rome;24;2983;2020;AVRIL;4
41;rome;34;3017;2020;MAI;5
42;rome;91;3108;2020;JUIN;6
43;rome;333;3441;2020;JUILLET;7
44;rome;403;3844;2020;AOUT;8
45;rome;451;4295;2020;SEPTEMBRE;9
46;rome;270;4565;2020;OCTOBRE;10
47;rome;142;4707;2020;NOVEMBRE;11
48;rome;38;4745;2020;DECEMBRE;12
49;rome;25;25;2021;JANVIER;1
50;rome;46;71;2021;FEVRIER;2
51;rome;14;85;2021;MARS;3
52;rome;19;104;2021;AVRIL;4
53;rome;88;192;2021;MAI;5
54;rome;121;313;2021;JUIN;6
55;rome;158;471;2021;JUILLET;7
56;rome;125;596;2021;AOUT;8
57;rome;226;822;2021;SEPTEMBRE;9
58;rome;147;969;2021;OCTOBRE;10
