;site;count;year;month;id_month
1;rome;2097;2017;JANVIER;1
2;rome;1998;2017;FEVRIER;2
3;rome;2853;2017;MARS;3
4;rome;3713;2017;AVRIL;4
5;rome;4590;2017;MAI;5
6;rome;3886;2017;JUIN;6
7;rome;4246;2017;JUILLET;7
8;rome;3877;2017;AOUT;8
9;rome;4982;2017;SEPTEMBRE;9
10;rome;4710;2017;OCTOBRE;10
11;rome;3310;2017;NOVEMBRE;11
12;rome;2722;2017;DECEMBRE;12
13;rome;2870;2018;JANVIER;1
14;rome;2625;2018;FEVRIER;2
15;rome;3383;2018;MARS;3
16;rome;4281;2018;AVRIL;4
17;rome;4588;2018;MAI;5
18;rome;3612;2018;JUIN;6
19;rome;3727;2018;JUILLET;7
20;rome;3631;2018;AOUT;8
21;rome;4592;2018;SEPTEMBRE;9
22;rome;4728;2018;OCTOBRE;10
23;rome;3157;2018;NOVEMBRE;11
24;rome;2206;2018;DECEMBRE;12
25;rome;2563;2019;JANVIER;1
26;rome;1942;2019;FEVRIER;2
27;rome;2687;2019;MARS;3
28;rome;3064;2019;AVRIL;4
29;rome;3185;2019;MAI;5
30;rome;2777;2019;JUIN;6
31;rome;2923;2019;JUILLET;7
32;rome;2413;2019;AOUT;8
33;rome;3061;2019;SEPTEMBRE;9
34;rome;3049;2019;OCTOBRE;10
35;rome;1738;2019;NOVEMBRE;11
36;rome;1221;2019;DECEMBRE;12
37;rome;1467;2020;JANVIER;1
38;rome;1218;2020;FEVRIER;2
39;rome;274;2020;MARS;3
40;rome;24;2020;AVRIL;4
41;rome;34;2020;MAI;5
42;rome;91;2020;JUIN;6
43;rome;333;2020;JUILLET;7
44;rome;403;2020;AOUT;8
45;rome;451;2020;SEPTEMBRE;9
46;rome;270;2020;OCTOBRE;10
47;rome;142;2020;NOVEMBRE;11
48;rome;38;2020;DECEMBRE;12
49;rome;25;2021;JANVIER;1
50;rome;46;2021;FEVRIER;2
51;rome;14;2021;MARS;3
52;rome;19;2021;AVRIL;4
53;rome;88;2021;MAI;5
54;rome;121;2021;JUIN;6
55;rome;158;2021;JUILLET;7
56;rome;125;2021;AOUT;8
57;rome;226;2021;SEPTEMBRE;9
58;rome;147;2021;OCTOBRE;10
